VIN,VB1,C0,R0,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
690.0,874.0,1.0,1.0,911.0,88.0,823.0,27.0,694.0,18.0,519.0,83.0,992.0,80.0,3.88186e-05,65.88191,10785.12,16295760.0,61.7116,16.1311
494.0,820.0,1.0,2.0,363.0,34.0,426.0,59.0,540.0,66.0,341.0,92.0,978.0,87.0,0.0001782492,44.40462,577079.0,95551890.0,73.7377,23.1985
760.0,965.0,1.0,3.0,365.0,68.0,454.0,68.0,590.0,14.0,535.0,47.0,110.0,39.0,1.791376e-05,54.92719,16783.42,8193759.0,65.2295,17.3117
393.0,862.0,4.0,2.0,509.0,85.0,858.0,64.0,601.0,68.0,315.0,50.0,920.0,38.0,4.878137e-05,63.31088,10785.12,10472090.0,66.2171,14.7522
698.0,862.0,1.0,1.0,901.0,96.0,818.0,27.0,705.0,18.0,544.0,83.0,969.0,75.0,4.693505e-05,66.80265,10785.12,19841090.0,60.109,16.6617
771.0,911.0,1.0,4.0,374.0,68.0,456.0,75.0,609.0,14.0,612.0,47.0,127.0,43.0,5.967381e-05,58.18532,40642.28,30874990.0,82.3704,24.4856
554.0,858.0,1.0,2.0,329.0,30.0,491.0,45.0,594.0,59.0,350.0,91.0,989.0,84.0,7.638333e-05,62.87254,40642.28,39459980.0,64.6835,32.4104
528.0,830.0,5.0,6.0,609.0,83.0,317.0,79.0,397.0,90.0,819.0,83.0,807.0,15.0,0.0001572278,19.67243,898000.8,6729644.0,57.6979,18.0687
465.0,870.0,3.0,2.0,507.0,80.0,790.0,64.0,618.0,71.0,376.0,49.0,936.0,40.0,4.409116e-05,64.14671,10785.12,12750420.0,56.2884,11.4087
523.0,842.0,1.0,1.0,401.0,31.0,488.0,44.0,565.0,64.0,353.0,85.0,990.0,88.0,9.907934e-05,62.29955,63244.55,48044980.0,57.1972,20.757
653.0,887.0,1.0,1.0,926.0,66.0,576.0,15.0,638.0,49.0,172.0,87.0,194.0,10.0,1.828863e-05,60.07395,10785.12,8193759.0,53.811,11.9865
727.0,747.0,1.0,1.0,197.0,76.0,612.0,9.0,228.0,36.0,353.0,88.0,918.0,21.0,6.63584e-05,43.54611,370846.0,39459980.0,63.9632,19.6555
492.0,892.0,1.0,2.0,989.0,29.0,564.0,45.0,492.0,63.0,334.0,74.0,997.0,83.0,3.64525e-05,58.0947,26117.46,19841090.0,59.9353,17.1472
264.0,860.0,1.0,1.0,399.0,15.0,937.0,14.0,923.0,73.0,180.0,88.0,754.0,23.0,2.002342e-05,57.9597,16783.42,8193759.0,59.1135,17.8193
