VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
770,670,1,6,530,13,653,93,688,44,201,36,812,41,1.52E-04,3.36E+01,8.98E+05,9.56E+07,4.16E+01,7.23E+00
746,815,2,1,255,83,703,93,547,63,545,45,492,61,1.50E-04,3.07E+01,1.40E+06,3.09E+07,7.49E+01,2.99E+01
569,527,7,7,521,72,985,31,135,83,917,86,850,69,2.93E-04,1.33E+01,1.40E+06,3.95E+07,4.33E+02,6.83E+02
649,444,8,2,593,16,587,45,853,45,636,14,896,3,2.24E-04,4.82E+01,6.32E+04,1.05E+07,9.20E+01,3.72E+01
726,854,4,1,687,67,158,83,568,92,483,49,322,62,1.76E-04,3.65E+01,3.71E+05,1.98E+07,8.36E+01,4.35E+01
569,519,7,6,492,70,985,31,135,83,940,86,850,71,3.00E-04,1.28E+01,1.40E+06,1.98E+07,1.48E+00,1.22E+00
709,610,1,1,549,14,652,93,655,65,195,77,849,41,3.42E-04,4.21E+01,5.77E+05,6.14E+07,8.56E+01,2.33E+01
366,396,1,5,778,6,588,60,857,80,710,36,146,10,3.28E-04,1.17E+01,3.38E+06,1.28E+07,3.03E+01,-1.36E+00
250,797,1,1,914,67,641,99,602,92,179,89,113,10,2.73E-04,3.15E+01,2.17E+06,7.48E+07,6.02E+01,3.76E+01
291,739,2,3,913,63,834,15,595,44,179,88,113,20,1.74E-04,3.64E+01,3.71E+05,1.98E+07,1.32E+02,3.59E+01
656,724,7,8,507,15,664,94,287,78,162,41,895,5,1.78E-04,1.38E+01,5.77E+05,3.38E+06,7.94E+01,1.99E+01
292,414,4,2,805,52,775,45,857,44,617,47,399,3,8.69E-04,9.96E+00,3.38E+06,8.19E+06,4.69E+01,1.57E+01
582,641,1,5,543,98,886,91,393,63,681,15,522,10,4.75E-04,3.09E+01,5.27E+06,2.82E+08,2.07E+01,8.87E+00
801,610,7,6,525,14,639,15,632,19,189,46,812,27,1.54E-04,4.10E+01,4.06E+04,8.19E+06,1.10E+02,1.48E+01
727,854,7,1,687,14,789,83,270,92,505,49,322,63,4.99E-05,1.27E+01,2.38E+05,8.98E+05,9.08E+01,4.43E+01
674,695,5,7,797,67,145,17,580,44,153,15,384,1,2.13E-04,1.16E+01,8.98E+05,2.78E+06,8.95E+01,3.15E+01
649,610,1,4,549,14,613,93,654,65,202,75,849,41,4.77E-04,5.84E+01,1.53E+05,5.60E+08,2.19E+01,-1.16E+00
