VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
229,392,8,3,971,73,967,81,156,82,922,37,184,18,1.25E-03,5.78E+00,3.38E+06,5.27E+06,6.83E+01,2.60E+01
330,679,8,2,746,79,986,71,188,58,636,25,966,27,2.99E-04,2.42E+01,8.98E+05,1.28E+07,9.19E+01,2.35E+01
647,333,4,5,393,34,313,73,164,49,394,20,270,33,6.94E-04,7.17E+00,5.27E+06,1.05E+07,1.31E+00,1.58E+00
332,958,5,7,552,75,793,16,702,17,386,93,569,91,9.67E-06,4.78E+01,1.84E+03,4.74E+05,9.00E+01,5.94E+01
582,241,3,6,523,49,876,64,624,20,231,64,522,10,1.13E-03,1.35E+01,3.38E+06,1.16E+08,-1.73E+01,-8.73E+00
254,516,6,2,836,40,249,22,167,33,536,22,389,51,8.66E-04,8.35E+00,3.38E+06,6.73E+06,7.98E+01,2.51E+01
944,224,5,7,689,53,932,84,871,11,208,93,640,82,3.15E-04,2.85E+01,6.32E+04,1.40E+06,1.24E+02,2.82E+01
770,439,4,5,725,82,266,94,997,43,541,45,800,40,6.05E-04,3.71E+01,5.77E+05,4.38E+08,-2.17E+01,-1.21E+01
766,788,6,6,782,52,681,60,389,93,253,76,578,70,1.38E-04,3.06E+01,2.38E+05,1.16E+08,1.28E+01,6.73E+00
793,950,8,4,765,78,625,88,735,82,651,77,376,40,1.41E-05,5.75E+01,2.86E+03,1.79E+06,6.87E+01,1.20E+01
764,347,1,9,643,91,718,35,630,24,872,88,856,90,5.01E-04,2.76E+01,2.17E+06,1.16E+08,7.99E+02,6.65E+02
678,806,1,9,530,12,446,65,179,74,634,39,798,14,1.04E-04,4.02E+01,5.77E+05,6.14E+07,5.66E+01,2.02E+01
766,953,4,9,469,74,492,10,341,17,795,59,819,46,4.48E-06,4.52E+01,2.86E+03,5.77E+05,8.40E+01,2.49E+01
801,210,1,6,546,14,201,44,852,64,639,46,362,26,8.65E-05,1.22E+01,1.40E+06,4.32E+06,1.01E+02,1.57E+01
677,353,2,8,476,18,835,64,153,43,179,89,563,11,4.69E-04,3.94E+01,5.77E+05,6.82E+08,6.03E+00,2.31E+00
692,845,4,7,593,2,665,45,402,79,626,96,897,52,3.51E-05,2.64E+01,9.84E+04,1.79E+06,1.08E+02,1.95E+01
386,287,7,7,108,1,441,65,696,97,993,10,160,46,3.18E-04,-2.36E+01,-1.00E+01,-1.00E+01,0.00E+00,1.26E+02
251,295,8,7,798,64,326,67,742,93,153,15,849,51,2.99E-03,2.87E+01,1.40E+06,1.36E+09,4.01E+00,4.65E+00
326,854,1,5,238,67,159,33,118,43,505,99,772,13,8.18E-05,1.03E+01,3.38E+06,1.05E+07,2.06E+01,7.53E+00
672,231,3,4,721,39,268,95,166,80,160,48,728,95,5.64E-04,1.26E+01,3.38E+06,3.95E+07,-3.49E+00,-4.76E+00
330,675,7,2,737,78,987,71,188,58,126,24,956,27,3.69E-04,4.32E+01,2.38E+05,3.60E+08,8.31E+01,2.09E+01
