VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
869,392,1,7,431,33,427,2,156,63,562,37,544,38,2.01E-05,-6.09E+00,-1.00E+01,-1.00E+01,1.27E+02,0.00E+00
330,679,8,2,926,79,986,51,728,58,996,84,966,47,3.16E-04,3.88E+01,2.38E+05,7.48E+07,4.81E+01,1.38E+01
327,333,1,3,573,54,673,73,704,89,394,1,450,33,1.41E-03,-5.88E+00,-1.00E+01,-1.00E+01,0.00E+00,6.96E+01
332,638,7,5,192,55,253,16,162,37,386,93,569,71,5.76E-04,2.80E+01,1.40E+06,5.60E+08,4.92E+00,2.76E+00
582,241,6,6,523,68,156,24,264,20,951,64,702,50,1.49E-03,2.60E+01,2.17E+06,4.38E+08,4.11E+00,3.53E+00
414,996,7,7,656,20,789,42,527,13,536,42,569,51,3.04E-06,5.77E+01,4.87E+02,3.05E+05,7.82E+01,1.56E+01
624,704,5,3,509,53,752,25,691,50,208,34,460,82,1.96E-04,2.58E+01,3.71E+05,8.19E+06,5.56E+01,3.63E+01
290,439,4,2,725,3,626,94,817,43,901,25,260,60,2.47E-04,-4.05E+00,-1.00E+01,-1.00E+01,1.37E+02,3.47E+01
286,948,3,1,602,12,861,80,209,53,433,16,218,30,7.61E-06,1.32E+01,1.53E+05,5.77E+05,6.82E+01,1.16E+01
793,310,7,4,405,78,625,88,375,82,471,57,376,60,3.98E-04,1.43E+01,1.40E+06,8.19E+06,1.65E+02,2.33E+00
924,347,6,7,643,71,358,35,990,4,692,68,496,90,3.28E-04,2.41E+01,9.84E+04,1.40E+06,1.52E+02,2.31E+01
998,486,1,2,350,12,446,85,359,35,994,98,438,33,4.23E-05,1.04E+01,9.84E+04,3.05E+05,9.39E+01,5.30E+01
606,793,2,2,829,14,492,10,521,17,795,19,639,86,3.31E-05,1.26E+01,3.71E+05,1.15E+06,9.46E+01,5.42E+01
641,210,5,5,366,54,381,83,132,24,819,86,722,6,1.18E-03,2.09E+01,3.38E+06,2.82E+08,1.26E+01,1.17E+01
837,673,2,6,836,18,295,84,153,82,899,89,563,90,3.57E-05,-1.75E+00,-1.00E+01,-1.00E+01,3.14E+01,1.14E+01
852,684,9,3,413,62,485,65,943,19,806,17,897,92,1.41E-04,2.20E+01,2.38E+05,2.78E+06,5.96E+01,1.33E+01
