VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
237,312,2,6,638,6,139,40,426,98,130,12,391,17,5.69E-04,1.07E+01,3.38E+06,1.63E+07,0.00E+00,0.00E+00
890,239,3,6,332,49,671,82,611,63,483,47,651,51,9.69E-05,1.38E+01,5.77E+05,2.78E+06,6.36E+01,1.11E+01
503,493,1,1,294,87,295,23,362,67,754,96,891,23,9.86E-04,6.18E+01,5.77E+05,5.60E+08,2.81E+01,1.12E+01
532,654,5,3,435,81,190,60,504,36,746,14,974,92,1.14E-03,2.29E+01,3.38E+06,3.60E+08,1.63E+01,1.15E+01
422,521,4,7,433,67,462,11,822,70,780,69,648,68,3.57E-04,2.33E+01,1.40E+06,1.16E+08,0.00E+00,0.00E+00
566,612,6,1,350,11,492,36,509,54,401,12,110,61,2.76E-04,-2.73E+00,-1.00E+01,-1.00E+01,1.21E+02,3.59E+01
760,520,8,7,473,53,581,97,205,29,478,71,784,52,4.70E-04,2.90E+01,5.77E+05,3.60E+08,0.00E+00,0.00E+00
354,319,9,5,680,7,203,25,736,53,613,11,557,98,3.93E-04,-4.31E+00,-1.00E+01,-1.00E+01,0.00E+00,0.00E+00
870,380,4,6,206,68,177,93,308,50,514,74,101,87,3.07E-04,1.77E+00,2.17E+06,1.15E+06,6.23E+01,1.52E+01
673,942,1,4,918,78,895,43,843,13,255,38,376,84,1.96E-05,5.84E+01,1.08E+04,6.73E+06,7.83E+01,6.18E+01
756,266,3,6,373,48,691,54,477,84,251,60,244,75,4.62E-04,1.40E+01,2.17E+06,3.09E+07,0.00E+00,0.00E+00
222,742,7,6,359,12,581,15,755,41,481,66,321,92,1.35E-04,1.79E+01,2.38E+05,1.79E+06,3.42E+01,1.59E+01
934,921,6,3,316,77,672,34,737,71,390,11,963,64,6.44E-06,1.58E+01,4.06E+04,2.38E+05,7.37E+01,1.47E+01
929,890,7,5,240,2,461,47,933,46,450,94,209,81,5.83E-05,3.74E+01,6.93E+03,3.71E+05,9.19E+01,4.68E+01
269,856,7,2,953,83,187,73,288,95,323,89,338,17,1.60E-04,2.08E+01,5.77E+05,6.73E+06,7.43E+01,2.65E+01
684,692,8,6,647,69,809,29,646,57,482,26,807,95,1.38E-04,1.91E+01,3.71E+05,3.38E+06,8.10E+00,7.80E+00
794,335,5,6,711,10,837,45,238,50,409,75,331,26,5.75E-05,6.77E+00,3.71E+05,4.74E+05,1.49E+02,1.05E+01
259,703,4,7,815,89,550,21,643,98,441,65,624,26,1.82E-04,3.61E+01,3.71E+05,1.81E+08,4.97E+00,5.40E+00
990,230,2,4,948,23,878,21,991,63,271,54,313,89,6.10E-05,4.72E+00,4.06E+04,5.19E+04,8.88E+01,6.43E+01
273,807,1,5,820,91,963,98,248,27,772,82,422,23,1.56E-04,3.78E+01,8.98E+05,1.16E+08,3.34E+01,1.51E+01
760,520,8,7,473,53,581,97,964,27,478,71,814,81,9.54E-04,4.19E+01,2.38E+05,5.60E+08,0.00E+00,0.00E+00
965,890,7,4,341,2,461,47,168,47,450,95,205,51,3.73E-05,2.99E+01,4.45E+03,1.26E+05,9.17E+01,5.12E+01
673,974,1,4,869,78,895,43,931,13,450,38,376,83,8.70E-06,5.31E+01,6.93E+03,2.78E+06,7.32E+01,2.15E+01
921,890,7,4,288,2,461,46,844,46,268,94,208,81,6.22E-05,3.90E+01,4.45E+03,3.71E+05,9.14E+01,5.16E+01
673,919,1,4,971,78,895,43,843,12,255,39,421,22,1.35E-05,2.66E+01,1.53E+05,2.78E+06,5.02E+01,1.22E+01
290,803,1,4,818,90,963,98,248,27,772,80,376,83,1.91E-04,2.60E+01,2.17E+06,6.14E+07,2.43E+01,1.02E+01
532,654,1,2,290,81,187,61,504,33,746,14,974,23,1.19E-03,2.79E+01,1.28E+07,2.31E+08,4.63E+01,1.80E+01
503,492,5,1,438,86,293,23,425,67,754,96,891,91,1.01E-03,2.80E+01,2.17E+06,1.49E+08,0.00E+00,0.00E+00
503,695,8,1,640,69,295,22,362,60,754,96,805,23,3.12E-04,6.20E+01,2.61E+04,2.54E+07,1.04E+02,2.77E+01
684,488,1,6,300,86,809,28,646,57,482,26,892,95,3.20E-04,1.87E+01,5.27E+06,1.49E+08,0.00E+00,0.00E+00
861,376,4,6,160,68,177,93,300,50,514,74,105,22,4.22E-04,1.49E+01,2.17E+06,1.16E+08,0.00E+00,0.00E+00
273,810,1,5,826,91,963,98,306,27,772,82,423,87,1.88E-04,2.98E+01,2.17E+06,9.56E+07,1.91E+01,1.11E+01
833,378,4,6,894,82,152,93,308,38,514,73,101,16,2.27E-04,1.63E+01,8.98E+05,6.73E+06,0.00E+00,0.00E+00
274,845,7,2,239,67,173,73,235,94,323,92,338,87,2.75E-04,4.03E+01,3.71E+05,2.82E+08,5.06E+01,1.43E+01
269,858,6,6,953,83,846,73,287,51,323,74,338,17,6.10E-05,4.97E+01,2.61E+04,6.14E+07,1.09E+02,2.35E+01
794,332,5,1,711,10,177,44,238,94,409,89,331,25,5.31E-05,4.10E+00,3.71E+05,3.71E+05,9.70E+01,2.85E+01
794,236,3,6,734,10,837,44,240,50,506,75,331,26,5.27E-05,4.07E+00,5.77E+05,5.77E+05,1.39E+02,1.51E+01
890,332,4,6,300,49,671,82,608,62,483,47,651,51,1.03E-04,1.51E+01,5.77E+05,2.78E+06,4.59E+01,1.15E+01
422,521,4,7,433,67,436,11,842,70,780,69,636,68,3.79E-04,2.36E+01,1.40E+06,1.16E+08,0.00E+00,0.00E+00
890,239,3,5,332,49,671,82,611,63,483,47,651,49,9.69E-05,1.41E+01,8.98E+05,2.78E+06,8.03E+01,1.25E+01
890,232,3,5,332,49,689,86,611,63,391,47,651,46,1.04E-04,1.62E+01,5.77E+05,4.32E+06,7.89E+01,1.18E+01
274,845,7,2,239,67,173,73,235,94,321,92,338,86,2.76E-04,4.14E+01,2.38E+05,2.82E+08,5.09E+01,1.43E+01
269,856,7,2,811,83,162,95,294,94,323,89,338,20,2.23E-04,1.74E+01,8.98E+05,6.73E+06,8.65E+01,2.78E+01
290,803,1,4,959,90,963,75,247,27,772,80,391,83,1.49E-04,2.41E+01,2.17E+06,3.09E+07,3.22E+01,1.19E+01
255,858,5,6,953,83,847,38,854,51,326,71,363,80,6.83E-05,3.49E+01,6.32E+04,4.32E+06,1.44E+02,3.59E+01
663,942,1,4,918,78,885,73,275,13,255,38,376,20,1.07E-05,2.73E+01,2.38E+05,4.32E+06,3.22E+01,6.74E+00
269,810,1,5,826,95,963,98,287,27,772,46,423,88,1.46E-04,2.17E+01,3.38E+06,3.09E+07,2.16E+01,9.94E+00
893,239,3,5,332,47,665,82,629,70,483,85,651,49,1.14E-04,1.84E+01,5.77E+05,4.32E+06,8.27E+01,1.21E+01
269,856,7,1,955,90,149,72,288,27,761,89,338,17,1.82E-04,1.04E+01,8.98E+05,2.17E+06,9.44E+00,9.84E+02
273,803,1,4,818,90,985,98,248,94,333,80,376,83,1.57E-04,2.16E+01,3.38E+06,3.95E+07,1.67E+01,8.21E+00
509,716,8,1,640,69,295,22,358,60,754,96,805,23,2.59E-04,6.24E+01,1.68E+04,1.98E+07,9.59E+01,3.00E+01
274,845,7,2,239,67,173,70,235,94,323,92,332,87,2.65E-04,3.75E+01,3.71E+05,2.82E+08,6.03E+01,1.46E+01
532,654,1,2,290,81,187,61,504,33,775,14,974,23,1.19E-03,2.89E+01,1.28E+07,2.31E+08,4.59E+01,1.81E+01
502,493,1,1,294,87,295,23,362,67,754,96,891,23,9.87E-04,6.18E+01,5.77E+05,5.60E+08,2.81E+01,1.12E+01
870,380,4,6,941,66,843,93,287,50,514,74,125,83,8.25E-05,-4.66E+00,-1.00E+01,-1.00E+01,1.20E+02,2.84E+01
269,855,6,5,216,83,180,73,307,45,323,72,317,23,1.81E-04,1.58E+01,1.40E+06,8.19E+06,4.17E+01,1.47E+01
797,691,5,5,711,10,837,45,238,50,407,90,351,22,5.45E-05,1.86E+01,2.38E+05,1.40E+06,1.31E+02,8.29E+00
499,338,8,1,640,74,302,22,376,71,754,74,790,26,1.01E-03,3.18E+01,8.98E+05,1.81E+08,3.24E+01,1.21E+01
532,644,5,3,828,83,190,60,504,36,746,14,320,91,9.94E-04,1.09E+01,3.38E+06,1.05E+07,3.92E+01,1.68E+01
273,807,1,4,426,91,963,98,179,25,747,82,953,29,1.33E-04,2.14E+01,3.38E+06,3.09E+07,4.44E+01,1.90E+01
272,845,7,3,242,67,908,75,235,95,323,92,332,87,7.56E-05,1.83E+01,3.71E+05,2.78E+06,8.61E+01,1.61E+01
291,803,1,2,953,90,225,65,246,27,825,80,391,83,4.06E-04,3.91E+01,2.17E+06,2.31E+08,4.04E+01,1.59E+01
273,855,6,2,811,65,162,95,297,94,323,89,338,20,2.25E-04,1.69E+01,1.40E+06,6.73E+06,8.59E+01,2.81E+01
269,845,7,2,238,84,173,73,230,94,359,92,338,86,2.69E-04,3.64E+01,3.71E+05,2.82E+08,4.62E+01,1.48E+01
481,719,6,1,658,67,261,20,235,93,321,96,338,90,2.79E-04,1.86E+01,1.40E+06,8.19E+06,1.48E+02,1.96E+01
270,887,7,1,220,69,161,68,358,60,754,91,784,17,8.82E-05,8.46E+00,8.98E+05,2.17E+06,0.00E+00,0.00E+00
274,845,7,2,282,67,173,70,235,94,338,92,332,87,2.61E-04,3.61E+01,3.71E+05,2.31E+08,4.72E+01,1.22E+01
269,858,6,5,953,83,846,73,287,48,323,74,338,17,6.11E-05,4.37E+01,6.32E+04,1.28E+07,1.29E+02,2.45E+01
503,695,7,1,640,69,174,72,241,94,242,96,377,23,1.11E-03,1.89E+01,3.38E+06,2.54E+07,6.90E+01,1.84E+01
300,849,7,2,239,66,299,22,364,58,789,92,841,86,5.69E-05,2.62E+01,2.38E+05,3.38E+06,1.03E+02,2.95E+01
241,854,8,1,960,68,177,73,288,52,323,89,338,22,1.79E-04,1.53E+01,5.77E+05,3.38E+06,5.81E+01,8.95E+00
530,717,6,1,632,83,295,22,358,99,754,96,805,16,2.30E-04,6.46E+01,1.68E+04,3.09E+07,7.25E+01,2.45E+01
269,857,6,6,298,83,158,61,291,51,766,74,338,17,1.53E-04,2.13E+01,8.98E+05,1.98E+07,4.05E+01,1.61E+01
548,654,1,2,943,81,847,72,499,33,331,14,974,22,4.35E-04,6.17E+01,2.38E+05,2.82E+08,6.73E+01,2.67E+01
269,859,6,5,636,83,179,71,307,45,323,72,842,23,1.44E-04,8.74E+00,8.98E+05,1.79E+06,9.71E+01,2.21E+01
503,690,8,1,208,69,295,23,362,60,754,91,279,24,3.64E-04,3.07E+01,5.77E+05,2.54E+07,8.08E+01,1.75E+01
273,807,1,1,426,91,175,97,179,25,746,15,974,29,4.53E-04,2.81E+01,8.19E+06,1.81E+08,0.00E+00,0.00E+00
532,626,1,4,290,83,969,65,504,33,746,80,952,23,4.86E-04,2.23E+01,5.27E+06,9.56E+07,6.49E+00,3.84E+00
250,817,1,5,425,91,991,98,248,26,775,82,419,28,1.44E-04,5.86E+01,1.53E+05,1.49E+08,3.17E+01,1.33E+01
273,807,1,4,820,94,937,98,179,25,747,82,953,22,1.28E-04,1.75E+01,3.38E+06,1.98E+07,4.16E+01,2.10E+01
530,717,6,2,632,83,836,22,358,32,730,96,805,16,1.26E-04,5.20E+01,4.06E+04,1.63E+07,1.11E+02,2.55E+01
548,654,1,1,943,84,305,72,499,98,354,14,974,22,7.47E-04,3.78E+01,3.38E+06,1.81E+08,3.20E+01,2.18E+01
274,845,6,2,282,69,173,70,235,94,323,92,329,89,2.65E-04,3.65E+01,5.77E+05,2.31E+08,6.82E+01,1.21E+01
299,845,7,2,238,67,173,70,235,94,338,92,332,86,2.59E-04,3.60E+01,3.71E+05,2.31E+08,6.95E+01,1.46E+01
283,845,7,1,239,69,173,72,235,58,272,92,338,84,3.07E-04,5.59E+01,6.32E+04,4.80E+07,1.30E+02,2.31E+01
519,716,8,1,640,66,294,22,378,95,774,96,805,25,2.44E-04,4.23E+01,1.53E+05,1.63E+07,9.80E+01,2.97E+01
503,695,8,1,640,67,174,76,364,94,238,98,377,28,1.18E-03,1.75E+01,2.17E+06,1.63E+07,5.63E+01,1.65E+01
503,675,6,1,640,69,212,22,238,60,754,96,805,21,4.30E-04,5.48E+01,9.84E+04,4.80E+07,1.05E+02,2.67E+01
