VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
549,392,4,5,251,53,247,41,156,23,742,37,364,77,1.55E-03,1.14E+01,8.19E+06,3.60E+08,1.51E+01,8.56E+00
330,679,8,2,386,79,986,12,908,58,816,5,966,87,4.86E-05,-2.62E+00,-1.00E+01,-1.00E+01,1.09E+02,3.72E+01
487,333,2,9,933,93,493,73,884,69,394,60,810,33,2.00E-03,3.75E+01,2.17E+06,8.72E+08,-1.76E+01,-1.21E+01
332,798,2,1,372,16,973,16,882,76,386,93,569,32,5.57E-05,3.60E+01,1.53E+05,8.19E+06,7.89E+01,5.18E+01
582,241,4,6,523,9,516,44,444,20,591,64,162,30,5.07E-04,1.40E+01,8.98E+05,5.27E+06,3.30E+01,7.48E+00
734,356,2,9,296,79,969,81,347,73,536,82,929,51,6.18E-04,2.86E+01,3.38E+06,4.38E+08,-2.04E+01,-1.02E+01
784,864,5,5,149,53,392,5,331,31,208,14,100,82,6.93E-06,-4.89E+00,-1.00E+01,-1.00E+01,1.01E+02,0.00E+00
930,439,4,4,725,42,446,94,457,43,721,85,980,99,3.43E-05,9.44E+00,1.53E+05,3.71E+05,1.06E+02,2.31E+01
926,468,4,8,242,32,321,20,749,73,793,96,398,50,4.98E-05,1.01E+01,2.38E+05,5.77E+05,1.20E+02,2.43E+01
793,630,3,4,585,78,625,88,555,82,111,17,376,1,1.96E-04,2.60E+01,1.40E+06,1.98E+07,6.28E+01,2.80E+01
444,346,8,3,643,32,538,35,810,63,332,29,676,90,9.54E-04,2.01E+01,8.98E+05,2.31E+08,1.07E+01,7.77E+00
838,646,1,5,890,12,446,26,719,54,814,19,618,73,1.93E-05,-1.68E+00,-1.00E+01,-1.00E+01,9.42E+01,8.18E+01
286,473,8,5,649,94,492,10,881,17,795,39,279,66,5.78E-04,1.89E+01,8.98E+05,7.48E+07,6.25E+01,0.00E+00
321,210,3,1,906,34,740,63,492,44,279,66,542,66,2.19E-03,2.72E+01,2.17E+06,9.56E+07,5.27E+01,1.01E+01
