VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
309,392,2,6,341,93,787,71,156,43,202,86,454,8,1.68E-03,1.06E+01,1.98E+07,5.60E+08,6.27E+00,4.03E+00
330,279,3,6,206,79,536,81,818,9,906,45,516,67,5.17E-03,-1.69E+01,-1.00E+01,-1.00E+01,0.00E+00,3.63E+01
807,333,1,2,303,73,133,73,344,30,394,80,180,33,9.14E-04,2.58E+01,8.19E+06,3.60E+08,-9.56E+00,1.83E+00
732,318,9,3,282,35,163,65,522,7,386,93,119,2,8.40E-04,3.50E+00,1.40E+06,1.15E+06,7.31E+00,3.15E+00
582,641,5,6,523,39,336,34,804,20,321,15,882,89,6.71E-04,3.45E+01,5.77E+05,6.82E+08,1.19E+00,2.90E+00
974,676,5,3,476,49,879,61,887,43,986,12,299,51,8.65E-06,-9.27E+00,-1.00E+01,-1.00E+01,9.31E+01,0.00E+00
704,784,9,4,329,53,122,15,511,90,208,73,280,82,1.85E-04,2.68E+01,2.38E+05,1.63E+07,2.77E+01,1.56E+01
610,839,4,7,275,23,536,94,187,43,361,5,170,30,9.93E-05,6.43E+00,1.40E+06,1.79E+06,6.00E+01,1.84E+01
206,708,3,9,422,22,141,99,479,63,163,56,308,40,1.81E-03,6.56E+00,8.19E+06,2.31E+08,4.93E+02,1.20E+00
393,870,5,4,495,78,625,38,915,82,291,87,376,80,6.71E-05,3.94E+01,6.32E+04,5.27E+06,1.21E+02,4.37E+01
684,347,2,5,643,51,448,35,900,34,962,98,136,40,7.73E-04,2.01E+01,2.17E+06,3.09E+07,1.66E+01,4.19E+00
918,966,6,8,620,12,896,56,539,44,904,9,528,4,2.28E-06,5.42E+01,1.18E+03,2.78E+06,-6.28E+01,-6.92E+00
846,633,1,3,739,4,492,59,701,66,345,79,459,26,3.90E-05,2.13E+01,2.38E+05,1.79E+06,8.11E+01,4.05E+01
481,610,8,3,186,93,111,73,762,83,549,26,632,85,3.17E-03,3.03E+01,3.38E+06,1.36E+09,-2.65E+00,-6.71E+00
597,593,2,9,746,68,655,55,603,72,719,89,113,71,6.01E-04,1.41E+01,3.38E+06,3.95E+07,2.20E+02,8.69E+02
612,925,6,4,233,72,305,85,132,59,986,86,897,82,3.35E-05,3.73E+01,9.84E+04,5.27E+06,7.40E+01,2.29E+01
466,767,2,5,738,90,801,65,607,28,543,69,970,37,1.94E-04,2.30E+01,1.40E+06,1.98E+07,2.29E+01,1.05E+01
331,375,8,1,978,15,776,97,652,44,333,15,399,2,6.00E-04,2.24E+01,5.77E+05,6.73E+06,9.25E+01,4.13E+01
566,214,9,1,148,27,159,4,748,52,865,49,682,82,5.07E-04,1.32E+01,1.40E+06,5.27E+06,7.86E+01,2.60E+01
672,391,4,7,811,59,899,26,976,41,880,88,368,65,4.29E-04,2.19E+01,8.98E+05,3.09E+07,2.46E+00,1.81E+00
597,595,8,9,253,70,663,71,762,82,542,25,120,85,6.87E-04,6.81E+00,1.40E+06,1.05E+07,2.89E+01,1.71E+01
480,592,2,1,711,90,110,53,585,72,725,89,628,65,2.25E-03,5.12E+01,8.98E+05,6.82E+08,2.02E+01,5.42E+00
466,767,5,5,747,90,807,65,604,20,543,70,883,37,1.99E-04,1.98E+01,5.77E+05,6.73E+06,2.45E+01,1.06E+01
582,641,1,6,523,42,336,34,801,27,382,13,970,89,5.34E-04,2.82E+01,5.27E+06,4.38E+08,5.07E+00,-2.30E+00
612,925,6,6,225,72,544,85,132,58,997,5,870,82,1.68E-05,-4.93E+00,-1.00E+01,-1.00E+01,6.75E+01,1.46E+01
610,838,4,4,275,22,296,94,187,43,318,80,180,30,2.44E-04,5.30E+01,9.84E+04,3.60E+08,3.87E+01,1.44E+01
331,370,8,1,149,15,776,93,652,43,333,15,399,84,1.88E-03,9.03E+00,5.27E+06,1.28E+07,1.53E+02,2.57E+01
566,214,8,1,980,26,159,10,748,51,865,49,682,1,3.33E-04,1.76E+01,5.77E+05,4.32E+06,6.63E+01,1.23E+01
336,391,4,1,812,14,778,96,969,41,867,12,347,2,6.30E-04,4.48E+01,2.38E+05,2.54E+07,6.64E+01,1.50E+01
672,374,7,7,979,59,896,25,665,45,345,90,377,59,5.31E-04,2.68E+01,3.71E+05,1.81E+08,2.87E+00,3.69E+00
598,593,2,9,745,68,668,55,599,72,719,89,113,40,5.90E-04,1.92E+01,3.38E+06,9.56E+07,-6.80E+00,-5.84E+00
208,718,3,9,422,22,123,99,482,63,163,56,308,70,2.03E-03,1.32E+01,8.19E+06,6.82E+08,-2.39E+00,-4.93E+02
393,870,5,4,495,78,625,38,915,83,291,87,348,80,6.69E-05,3.77E+01,6.32E+04,5.27E+06,1.22E+02,4.39E+01
466,823,2,4,738,90,801,65,607,28,543,60,970,37,9.38E-05,2.63E+01,5.77E+05,1.28E+07,8.24E+01,2.17E+01
610,911,4,7,275,23,536,94,187,43,361,5,170,30,2.60E-05,7.44E+00,3.71E+05,7.38E+05,1.23E+02,2.96E+01
309,324,2,6,341,91,787,71,156,43,202,86,454,8,1.98E-03,1.09E+01,1.98E+07,5.60E+08,5.17E+00,3.28E+00
846,388,1,3,755,7,492,73,696,65,345,79,459,7,4.20E-05,2.77E+01,2.38E+05,5.27E+06,8.30E+01,3.30E+01
309,630,2,6,324,89,795,59,220,43,202,86,454,26,7.16E-04,4.09E+01,1.40E+06,1.06E+09,-5.90E+01,-2.79E+02
358,870,5,3,495,74,625,38,349,24,320,87,376,79,8.16E-05,5.49E+01,1.68E+04,6.73E+06,1.14E+02,3.30E+01
843,333,1,2,303,78,133,73,909,87,394,79,180,33,5.14E-04,2.38E+01,5.27E+06,7.48E+07,6.09E+01,4.87E+00
394,874,4,1,794,14,625,93,915,40,287,87,347,3,4.94E-05,-3.08E+00,-1.00E+01,-1.00E+01,-6.55E+01,-7.88E+00
334,394,4,4,512,78,793,39,968,82,884,12,375,79,7.93E-04,3.24E+00,3.38E+06,3.38E+06,0.00E+00,0.00E+00
393,875,5,4,495,78,625,38,915,83,291,87,349,80,6.23E-05,3.86E+01,6.32E+04,5.27E+06,1.18E+02,4.49E+01
393,870,5,4,543,78,644,38,915,82,291,87,374,80,6.62E-05,3.92E+01,6.32E+04,5.27E+06,1.20E+02,4.44E+01
704,838,7,4,329,52,122,15,511,44,363,73,280,84,1.01E-04,2.93E+01,1.53E+05,4.32E+06,7.36E+01,1.89E+01
610,784,4,6,275,23,557,93,187,90,205,4,170,27,2.00E-04,1.97E+00,2.17E+06,1.40E+06,3.43E+01,1.33E+01
623,333,1,2,303,78,163,67,830,85,980,79,824,31,2.36E-03,4.62E+01,3.38E+06,6.82E+08,-1.48E+01,-4.16E+00
831,925,5,4,233,72,305,85,212,60,394,84,260,83,4.07E-05,3.51E+01,9.84E+04,5.27E+06,1.13E+02,2.44E+01
597,607,2,9,746,68,625,38,915,82,716,89,117,79,4.98E-04,1.52E+01,2.17E+06,2.54E+07,1.23E+01,2.05E+01
393,854,4,3,495,78,663,54,602,71,293,87,382,71,9.72E-05,4.30E+01,9.84E+04,1.28E+07,1.29E+02,3.49E+01
358,870,5,3,495,75,625,42,349,24,320,87,376,68,8.04E-05,5.84E+01,1.08E+04,8.19E+06,1.15E+02,2.67E+01
597,593,2,9,746,68,655,55,609,72,719,89,113,71,6.02E-04,1.41E+01,3.38E+06,3.95E+07,2.48E+02,9.04E+02
331,370,5,1,149,13,776,93,648,43,987,15,401,84,1.48E-03,-9.12E-01,-1.00E+01,-1.00E+01,0.00E+00,0.00E+00
611,933,7,4,294,73,305,85,132,58,358,86,894,82,3.07E-05,5.88E+01,6.93E+03,4.32E+06,7.51E+01,1.89E+01
464,823,2,4,738,12,801,65,939,29,543,60,943,34,9.05E-05,1.88E+01,5.77E+05,4.32E+06,9.93E+01,2.81E+01
306,391,4,1,812,91,778,99,614,40,849,12,347,4,1.75E-03,4.42E+01,8.98E+05,1.16E+08,7.20E+01,2.83E+01
610,838,4,4,235,22,296,94,187,43,317,80,229,36,2.42E-04,5.03E+01,1.53E+05,3.60E+08,3.76E+01,1.43E+01
331,375,8,1,978,9,776,97,652,42,357,15,399,1,3.82E-04,1.77E+01,5.77E+05,3.38E+06,7.89E+01,1.83E+01
704,725,9,1,329,15,868,15,645,90,354,73,397,8,7.10E-05,4.17E+01,4.06E+04,4.32E+06,8.67E+01,4.72E+01
331,404,8,4,978,55,118,97,511,44,206,15,281,76,2.80E-03,1.43E+01,3.38E+06,1.06E+09,5.60E+01,1.35E+01
358,870,5,3,495,74,625,38,349,24,320,87,376,79,8.16E-05,5.49E+01,1.68E+04,6.73E+06,1.14E+02,3.30E+01
612,925,6,4,233,72,305,85,132,59,999,88,897,82,3.37E-05,3.81E+01,6.32E+04,5.27E+06,7.39E+01,2.28E+01
336,380,4,1,829,14,800,96,969,43,867,12,347,1,5.86E-04,2.40E+01,1.40E+06,1.98E+07,4.09E+01,5.56E+00
610,838,4,4,225,22,273,94,187,40,317,80,228,36,2.51E-04,3.82E+01,3.71E+05,3.60E+08,3.70E+01,1.44E+01
335,391,4,1,811,22,786,95,965,41,551,12,343,2,8.44E-04,2.04E+01,2.17E+06,1.98E+07,7.13E+01,2.62E+01
466,823,2,4,728,89,801,65,607,27,858,60,970,36,9.29E-05,3.06E+01,5.77E+05,1.63E+07,7.41E+01,2.00E+01
463,848,8,1,117,15,776,93,652,43,539,16,399,84,7.74E-05,1.12E+01,5.77E+05,1.79E+06,8.93E+01,5.02E+01
333,344,2,4,769,89,798,64,607,28,336,59,970,41,2.02E-03,1.67E+01,8.19E+06,3.60E+08,-7.21E+00,-1.10E+01
330,866,5,3,149,15,773,93,650,38,333,15,376,84,6.52E-05,1.68E+01,5.77E+05,3.38E+06,1.28E+02,3.18E+01
358,373,7,1,495,75,622,42,350,24,320,87,398,68,3.06E-03,3.60E+01,8.98E+05,1.65E+09,8.06E+00,5.48E+00
597,593,2,8,729,68,655,55,602,72,719,89,113,71,6.04E-04,1.41E+01,3.38E+06,3.95E+07,6.35E+02,9.34E+02
529,593,2,9,733,68,655,55,609,72,697,89,125,71,7.27E-04,1.57E+01,3.38E+06,7.48E+07,-2.01E+00,-6.80E+02
393,870,5,4,500,78,625,38,915,81,291,87,376,80,6.76E-05,3.98E+01,6.32E+04,5.27E+06,1.21E+02,4.37E+01
306,391,4,1,812,91,778,99,614,40,849,12,347,4,1.75E-03,4.42E+01,8.98E+05,1.16E+08,7.20E+01,2.83E+01
331,400,7,3,488,52,127,42,345,44,214,12,281,64,2.92E-03,1.23E+01,5.27E+06,1.06E+09,8.46E+01,0.00E+00
358,873,5,3,981,73,593,96,514,24,311,82,376,75,1.21E-04,3.06E+01,2.38E+05,6.73E+06,1.35E+02,2.43E+01
331,375,8,1,978,15,776,97,652,44,333,15,387,2,6.03E-04,2.32E+01,5.77E+05,8.19E+06,9.32E+01,4.09E+01
597,593,2,9,746,68,655,55,603,72,719,89,113,71,6.01E-04,1.41E+01,3.38E+06,3.95E+07,2.20E+02,8.69E+02
306,391,4,1,843,91,679,99,619,40,267,12,347,4,1.91E-03,1.39E+01,8.19E+06,3.09E+07,9.53E+01,2.83E+01
384,854,4,3,463,78,775,54,596,71,874,87,382,67,5.61E-05,2.53E+01,2.38E+05,4.32E+06,1.17E+02,2.46E+01
596,593,2,7,727,68,640,57,959,72,719,89,113,71,7.44E-04,1.81E+01,3.38E+06,6.14E+07,5.81E+00,5.77E+00
336,391,4,1,813,13,778,95,637,41,867,12,347,2,5.69E-04,3.17E+01,5.77E+05,1.98E+07,6.92E+01,1.63E+01
613,598,2,9,746,89,797,64,603,71,719,89,113,68,5.93E-04,1.55E+01,3.38E+06,4.80E+07,-3.14E+00,-5.82E+02
469,817,2,4,738,68,658,55,607,28,543,60,970,39,1.05E-04,2.65E+01,8.98E+05,1.28E+07,8.10E+01,2.07E+01
474,608,2,8,762,88,801,65,607,27,858,89,127,76,1.05E-03,2.11E+01,3.38E+06,1.16E+08,2.16E+00,3.30E+00
597,807,1,4,746,68,661,54,602,72,719,59,945,36,1.08E-04,5.55E+01,1.53E+05,7.48E+07,4.87E+01,1.70E+01
597,590,2,9,746,68,655,55,603,41,708,89,350,74,7.68E-04,2.69E+01,2.17E+06,2.31E+08,-1.17E+01,-1.35E+01
336,393,4,1,812,14,778,96,956,73,867,13,110,5,5.97E-04,1.17E+01,2.17E+06,6.73E+06,1.03E+02,2.96E+01
327,359,1,1,125,69,776,95,652,42,713,13,410,84,2.30E-03,4.41E+00,7.48E+07,7.48E+07,0.00E+00,0.00E+00
614,600,8,9,775,19,655,52,609,71,338,90,113,71,4.20E-04,1.38E+01,5.77E+05,3.38E+06,8.42E+00,3.26E+00
365,405,2,8,726,68,779,54,602,38,718,8,102,71,9.30E-04,-6.73E+00,-1.00E+01,-1.00E+01,0.00E+00,0.00E+00
580,578,4,1,813,22,687,95,965,74,551,92,362,2,3.30E-04,8.15E+00,1.40E+06,2.78E+06,6.08E+01,1.36E+01
306,391,4,1,812,91,778,99,606,40,849,11,347,4,1.73E-03,3.87E+01,1.40E+06,9.56E+07,6.83E+01,2.88E+01
306,391,4,1,803,91,778,99,592,40,849,12,357,4,1.75E-03,4.41E+01,8.98E+05,1.16E+08,7.07E+01,2.85E+01
466,873,2,3,739,89,700,68,607,28,731,60,970,35,4.51E-05,2.64E+01,3.71E+05,6.73E+06,4.23E+01,1.07E+01
306,391,3,1,812,91,798,98,614,40,841,10,347,4,1.68E-03,3.58E+01,2.17E+06,1.16E+08,5.63E+01,2.73E+01
465,383,2,4,738,90,801,94,973,28,543,60,356,37,2.98E-03,4.58E+01,1.40E+06,1.06E+09,-1.60E+01,-8.57E+00
345,830,4,1,811,22,785,65,597,41,559,12,951,1,5.77E-05,7.30E+00,8.98E+05,3.09E+07,-8.77E+01,-1.79E+01
331,375,7,1,484,73,772,97,652,25,333,15,420,2,1.74E-03,-2.73E+00,-1.00E+01,-1.00E+01,9.11E+01,3.23E+01
358,876,5,2,983,15,628,38,349,44,328,87,375,79,5.64E-05,3.35E+01,6.32E+04,2.78E+06,9.66E+01,4.74E+01
336,391,4,1,812,12,796,98,614,39,841,10,373,4,5.29E-04,2.18E+01,1.40E+06,1.28E+07,8.31E+01,3.76E+01
305,391,2,1,851,90,779,96,987,41,867,12,347,2,1.61E-03,1.37E+01,1.28E+07,9.56E+07,1.25E+01,3.60E+00
350,412,4,1,812,91,778,99,614,42,849,12,285,4,1.56E-03,3.57E+01,2.17E+06,9.56E+07,7.77E+01,2.81E+01
306,404,4,1,807,91,738,99,592,46,849,12,357,4,1.75E-03,4.02E+01,1.40E+06,9.56E+07,6.78E+01,2.87E+01
393,854,4,3,495,78,663,60,601,71,293,60,398,71,8.57E-05,3.47E+01,2.38E+05,1.05E+07,1.31E+02,3.78E+01
466,823,2,2,728,89,801,54,694,27,885,88,951,34,8.14E-05,2.55E+01,5.77E+05,8.19E+06,5.41E+01,1.87E+01
306,391,3,1,812,91,778,97,562,40,912,13,347,4,1.71E-03,3.98E+01,1.40E+06,1.16E+08,6.29E+01,2.69E+01
336,391,4,1,812,14,778,96,969,41,867,12,347,2,6.30E-04,4.48E+01,2.38E+05,2.54E+07,6.64E+01,1.50E+01
597,594,4,1,745,66,726,52,623,72,714,89,113,66,5.40E-04,1.45E+01,2.17E+06,8.19E+06,7.75E+01,2.04E+01
306,389,1,8,815,89,655,99,614,40,799,12,347,8,1.97E-03,2.83E+01,1.28E+07,6.82E+08,2.35E+01,8.53E+00
597,584,2,9,745,90,658,55,635,72,718,89,110,71,6.73E-04,1.52E+01,3.38E+06,6.14E+07,4.02E+02,5.86E+02
466,882,2,4,738,66,797,67,607,28,543,60,979,34,3.44E-05,2.53E+01,3.71E+05,5.27E+06,5.45E+01,1.55E+01
306,394,2,3,737,91,798,64,613,26,849,12,304,3,1.29E-03,4.37E+01,1.40E+06,4.38E+08,4.05E+01,1.47E+01
466,830,3,1,858,89,780,98,607,40,543,60,962,37,1.14E-04,2.49E+01,5.77E+05,1.05E+07,3.56E+01,6.20E+00
466,823,2,4,744,59,801,64,607,80,858,88,970,71,9.61E-05,3.58E+01,3.71E+05,2.54E+07,5.79E+01,1.68E+01
597,593,2,9,717,89,655,55,603,18,719,60,113,32,1.01E-03,2.95E+01,2.17E+06,4.38E+08,-6.58E+00,-2.95E+00
306,478,4,1,803,12,768,94,593,40,849,12,357,2,5.59E-04,3.86E+01,3.71E+05,2.54E+07,5.83E+01,1.01E+01
336,393,3,1,813,91,778,99,635,40,867,12,347,2,1.59E-03,2.30E+01,5.27E+06,1.16E+08,1.89E+01,4.47E+00
471,439,1,3,813,13,783,95,637,46,529,12,347,2,3.77E-04,3.59E+01,1.40E+06,7.48E+07,8.12E+01,1.81E+01
333,762,3,1,738,68,652,55,606,28,877,59,970,39,2.15E-04,3.12E+01,8.98E+05,1.98E+07,6.61E+01,2.32E+01
597,852,1,8,739,77,664,55,603,71,713,60,100,71,5.88E-05,1.76E+01,8.98E+05,6.73E+06,2.33E+01,1.12E+01
393,594,4,2,501,68,653,59,601,71,298,86,434,71,1.32E-03,3.79E+01,8.98E+05,8.72E+08,5.66E+00,5.47E+00
306,391,4,1,812,91,778,99,614,34,849,12,347,4,1.77E-03,5.07E+01,3.71E+05,1.16E+08,7.23E+01,2.85E+01
466,823,2,4,740,90,801,65,607,28,543,63,879,37,9.70E-05,2.70E+01,5.77E+05,1.28E+07,8.07E+01,2.09E+01
333,762,3,1,690,68,660,55,606,28,905,59,978,39,2.13E-04,3.20E+01,5.77E+05,2.54E+07,6.50E+01,2.22E+01
336,391,4,1,773,12,796,98,614,39,841,10,382,4,5.50E-04,2.23E+01,1.40E+06,1.63E+07,8.23E+01,3.72E+01
470,391,4,1,776,91,777,64,592,27,828,8,357,30,9.45E-04,1.28E+01,3.38E+06,1.28E+07,0.00E+00,3.30E+01
