VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
469,392,1,2,881,33,427,51,156,63,562,86,994,87,8.23E-04,1.57E+01,1.28E+07,7.48E+07,2.06E+01,9.98E+00
330,279,3,6,926,79,536,2,278,9,546,84,516,47,3.65E-04,2.55E+01,8.98E+05,7.48E+07,7.36E+00,4.54E+00
327,333,5,3,123,54,673,73,704,89,394,1,900,33,1.88E-03,-1.89E+00,-1.00E+01,-1.00E+01,0.00E+00,6.89E+01
732,638,7,5,642,55,703,65,162,86,386,93,119,22,2.72E-04,1.73E+01,8.98E+05,6.14E+07,-1.32E+00,4.80E+02
582,641,2,6,523,19,156,73,264,20,501,15,702,50,5.36E-04,1.94E+01,3.38E+06,2.82E+08,2.16E+01,1.01E+01
814,996,3,7,656,69,339,42,527,63,986,92,119,51,7.24E-06,4.22E+01,1.08E+04,1.15E+06,8.25E+01,2.93E+01
224,304,9,8,509,53,302,75,691,50,208,34,460,82,5.86E-03,2.36E+01,3.38E+06,2.57E+09,2.64E+01,1.56E+01
290,839,4,2,275,3,176,94,367,43,901,25,710,10,2.16E-04,6.46E+00,1.40E+06,2.78E+06,-6.51E+00,-5.71E+02
686,548,7,5,602,62,861,80,659,4,883,16,668,80,7.89E-04,2.80E+01,5.77E+05,3.60E+08,2.89E+00,1.30E+00
393,710,7,4,855,78,625,38,375,82,471,7,376,60,1.78E-04,1.15E+00,8.98E+05,3.71E+05,3.76E+01,1.74E+01
524,347,6,7,643,71,808,35,540,54,242,19,496,40,6.98E-04,2.39E+01,1.40E+06,6.82E+08,-1.12E+01,-5.82E+00
598,486,6,6,800,12,896,36,359,84,544,49,888,83,1.65E-04,7.45E+00,5.77E+05,1.15E+06,-4.20E+00,-1.26E+00
206,793,2,2,379,64,492,59,521,66,345,19,639,86,1.73E-04,2.05E+01,2.17E+06,1.98E+07,9.04E+01,3.09E+01
641,610,5,5,366,54,831,34,582,24,369,86,272,6,3.39E-04,1.88E+01,8.98E+05,1.63E+07,4.85E+00,2.99E+00
437,273,2,2,386,68,295,35,603,33,899,89,113,90,2.98E-03,1.18E+01,1.28E+07,6.14E+07,0.00E+00,0.00E+00
452,284,9,8,413,12,485,65,493,19,806,66,897,42,1.27E-03,3.17E+01,3.71E+05,4.38E+08,6.34E+02,-5.84E+02
626,927,9,1,198,70,621,65,427,87,543,89,790,17,1.35E-05,2.78E+01,4.06E+04,1.40E+06,-4.85E+01,-3.93E+00
491,535,8,8,437,15,776,57,472,44,693,15,399,2,4.22E-04,5.69E+01,2.61E+04,2.82E+08,3.40E+01,1.23E+01
246,534,7,1,868,47,159,43,208,72,685,49,502,22,1.75E-03,2.47E+01,2.17E+06,6.14E+07,7.77E+01,2.19E+01
672,711,6,5,991,99,359,85,797,61,520,68,548,6,3.97E-04,8.64E+00,1.40E+06,2.17E+06,3.04E+01,1.32E+01
491,710,7,8,865,81,625,55,374,82,477,7,376,60,2.51E-04,3.05E+00,8.98E+05,7.38E+05,1.18E+01,5.43E+00
389,535,8,3,426,15,797,39,472,44,686,15,399,2,4.14E-04,5.65E+01,4.06E+04,7.48E+07,1.17E+02,2.60E+01
206,793,1,1,379,64,492,59,521,66,345,19,639,86,1.73E-04,2.05E+01,5.27E+06,3.95E+07,6.57E+01,4.17E+01
672,711,6,5,991,99,359,90,797,61,520,68,548,6,4.09E-04,8.23E+00,1.40E+06,2.17E+06,3.02E+01,1.32E+01
246,304,7,1,497,53,163,75,739,50,208,34,502,84,7.19E-03,3.41E+01,2.17E+06,2.57E+09,5.90E+01,0.00E+00
223,513,8,8,865,47,297,43,161,76,685,54,459,19,1.36E-03,2.19E+01,1.40E+06,4.38E+08,1.33E+01,1.01E+01
644,534,5,4,863,54,831,35,582,23,693,86,272,6,4.21E-04,3.25E+01,3.71E+05,1.49E+08,1.39E+01,3.73E+00
242,609,7,1,370,47,159,41,208,63,360,49,502,23,1.59E-03,4.08E+01,8.98E+05,8.72E+08,6.18E+01,1.88E+01
484,800,1,2,863,34,427,50,540,63,561,86,998,87,2.02E-04,6.03E+01,9.84E+04,9.56E+07,7.35E+01,2.25E+01
201,384,2,2,396,62,492,59,136,65,345,19,762,86,2.02E-03,9.20E+00,1.98E+07,1.16E+08,9.02E+01,2.20E+01
327,333,5,3,123,54,673,73,704,89,394,1,900,33,1.88E-03,-1.89E+00,-1.00E+01,-1.00E+01,0.00E+00,6.89E+01
224,306,9,8,472,53,302,75,691,50,208,34,460,82,6.04E-03,2.38E+01,3.38E+06,2.57E+09,2.69E+01,1.53E+01
454,272,9,7,414,71,293,34,536,19,800,64,897,89,3.08E-03,3.35E+01,8.98E+05,8.72E+08,-6.89E+00,-5.45E+00
434,284,1,2,384,8,486,64,603,30,904,90,113,42,1.03E-03,9.32E+00,5.27E+06,1.63E+07,1.21E+02,2.04E+01
444,268,7,3,399,76,620,38,592,29,471,7,118,60,1.11E-03,-1.03E+00,-1.00E+01,-1.00E+01,0.00E+00,0.00E+00
436,714,2,1,850,77,299,35,385,84,888,85,371,90,3.80E-04,1.77E+01,3.38E+06,1.98E+07,6.81E+01,1.75E+01
330,284,3,7,926,69,536,2,278,9,552,91,516,50,3.80E-04,2.53E+01,5.77E+05,7.48E+07,1.35E+01,4.97E+00
814,952,3,5,656,78,339,42,527,63,976,84,119,46,1.50E-05,4.23E+01,2.61E+04,2.78E+06,8.68E+01,4.02E+01
795,638,2,5,642,55,727,56,162,86,386,94,119,22,1.58E-04,1.42E+01,2.17E+06,1.05E+07,-1.18E+00,-2.38E+00
736,990,6,7,655,69,314,42,527,62,980,92,119,51,8.38E-06,4.33E+01,6.93E+03,7.38E+05,8.84E+01,4.62E+01
206,777,2,2,379,65,492,59,521,66,345,19,639,86,2.12E-04,2.06E+01,3.38E+06,2.54E+07,7.60E+01,2.73E+01
389,535,8,3,426,10,797,39,472,44,686,15,399,2,3.70E-04,5.04E+01,4.06E+04,2.54E+07,1.32E+02,2.64E+01
436,714,2,1,850,61,299,58,385,84,929,20,361,88,4.92E-04,5.18E+00,5.27E+06,8.19E+06,9.47E+01,2.42E+01
