VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
709,392,2,1,791,93,787,22,156,43,202,37,904,58,2.76E-04,2.08E+01,3.38E+06,3.09E+07,1.34E+02,1.79E+01
330,679,8,2,206,79,986,32,368,58,456,45,966,67,1.74E-04,2.20E+01,5.77E+05,8.19E+06,4.95E+01,1.79E+01
807,333,6,2,753,73,133,73,344,30,394,80,630,33,4.53E-04,3.26E+01,3.71E+05,1.81E+08,2.40E+01,9.64E+00
332,318,9,3,732,35,613,16,522,57,386,93,569,51,9.38E-04,2.84E+01,5.77E+05,4.38E+08,8.18E+02,3.61E+00
582,241,1,6,523,88,336,83,804,20,771,64,882,89,3.70E-03,4.03E+01,5.27E+06,1.06E+09,-1.61E+01,-9.56E+00
574,676,9,3,476,99,429,61,887,93,536,62,749,51,7.31E-04,6.44E+01,4.06E+04,5.60E+08,4.50E+00,4.54E+00
304,384,5,9,329,53,572,65,511,90,208,73,280,82,3.19E-03,2.53E+01,3.38E+06,1.65E+09,-1.02E+01,-1.81E+00
610,439,4,7,725,23,986,94,637,43,361,5,620,79,3.03E-04,2.83E+00,1.40E+06,1.15E+06,1.66E+02,0.00E+00
606,308,8,4,422,71,141,99,929,14,613,56,758,90,4.28E-03,2.00E+01,2.17E+06,4.38E+08,-2.31E+01,-9.00E+00
793,470,5,4,945,78,625,88,915,82,291,37,376,80,2.64E-04,1.77E+01,5.77E+05,5.27E+06,6.25E+01,4.58E+01
284,346,2,5,643,51,898,35,450,83,512,49,136,90,8.49E-04,2.17E+00,8.19E+06,4.32E+06,1.34E+02,0.00E+00
518,966,1,4,170,12,446,6,539,94,454,59,978,53,2.92E-06,3.74E+01,1.68E+04,8.98E+05,7.06E+01,2.23E+01
446,633,1,3,289,54,492,10,701,17,795,79,459,26,3.39E-04,4.35E+01,8.98E+05,2.31E+08,2.82E+01,1.30E+01
481,210,8,3,186,93,560,24,312,83,999,26,182,85,8.81E-04,-7.12E+00,-1.00E+01,-1.00E+01,0.00E+00,0.00E+00
997,993,2,4,296,18,655,5,153,23,719,89,563,71,2.87E-06,2.75E+01,6.93E+03,1.53E+05,9.30E+01,3.17E+01
212,524,6,8,233,22,305,85,583,59,986,37,897,32,2.49E-03,2.77E+01,2.17E+06,5.60E+08,7.45E+00,3.44E+00
866,767,2,5,288,41,801,65,157,77,994,69,520,86,5.77E-05,5.56E+00,1.40E+06,1.79E+06,1.40E+01,5.09E+00
731,775,8,1,977,64,325,47,202,93,333,15,849,51,1.34E-04,1.42E+01,5.77E+05,3.38E+06,8.93E+01,4.89E+01
966,214,4,5,597,27,159,53,298,3,865,98,232,32,9.23E-05,1.07E+01,6.32E+04,1.96E+05,9.93E+01,3.87E+01
673,391,9,7,361,59,450,76,527,41,880,88,368,16,1.15E-03,3.97E+01,3.71E+05,5.60E+08,-1.25E+01,-7.47E+00
731,772,8,8,977,62,304,81,195,61,303,36,854,49,2.27E-04,3.22E+01,3.71E+05,2.82E+08,3.04E+01,1.05E+01
212,526,6,1,233,23,309,50,589,90,993,15,897,33,1.48E-03,1.50E+01,5.27E+06,2.54E+07,1.09E+02,2.54E+01
582,241,1,6,523,87,336,83,804,21,771,64,882,83,3.57E-03,4.12E+01,5.27E+06,1.06E+09,-1.65E+01,-1.07E+01
866,766,2,5,288,41,801,69,157,77,994,69,521,86,5.96E-05,5.73E+00,1.40E+06,1.79E+06,1.30E+01,4.93E+00
997,327,2,4,296,17,553,5,153,17,399,90,564,51,3.86E-05,8.41E+00,9.84E+04,1.96E+05,9.39E+01,4.05E+01
332,938,8,3,732,35,614,16,522,60,725,95,563,70,1.17E-05,4.32E+01,4.45E+03,4.74E+05,8.70E+01,3.24E+01
574,696,8,3,476,99,429,61,887,54,546,62,749,51,6.42E-04,3.15E+01,5.77E+05,2.82E+08,5.86E+00,4.79E+00
332,297,9,3,732,35,613,15,522,95,440,93,569,51,6.93E-04,2.30E+01,8.98E+05,1.81E+08,3.56E+00,5.69E+00
709,634,2,1,747,53,787,21,710,43,169,37,929,27,2.18E-04,5.00E+01,1.53E+05,3.95E+07,9.27E+01,5.45E+01
446,390,1,2,289,93,491,12,147,17,795,79,459,56,6.39E-04,2.04E+01,8.19E+06,1.16E+08,1.35E+01,7.46E+00
768,455,5,4,945,78,625,88,915,84,291,37,376,80,3.38E-04,1.86E+01,8.98E+05,6.73E+06,4.06E+01,4.17E+01
330,678,8,2,203,79,986,32,368,58,456,45,934,67,1.76E-04,2.16E+01,8.98E+05,8.19E+06,4.80E+01,1.74E+01
518,938,1,4,216,12,446,6,539,94,454,59,978,53,5.51E-06,4.00E+01,2.61E+04,1.79E+06,7.11E+01,2.48E+01
793,470,5,4,945,74,625,88,915,82,299,37,373,80,2.51E-04,1.71E+01,5.77E+05,4.32E+06,6.73E+01,4.66E+01
709,361,2,1,847,93,787,22,153,42,202,37,545,55,2.82E-04,1.65E+01,3.38E+06,1.98E+07,1.38E+02,1.62E+01
997,996,1,4,239,13,655,5,165,23,719,92,921,71,1.81E-06,2.84E+01,1.08E+04,2.38E+05,9.12E+01,2.75E+01
339,678,9,3,466,76,947,61,378,93,536,62,800,51,3.20E-04,2.80E+01,5.77E+05,1.81E+08,1.28E+01,8.33E+00
