VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
789,392,6,4,161,14,607,12,156,3,382,86,274,48,7.14E-04,2.52E+01,3.71E+05,1.28E+07,4.21E+01,1.41E+01
330,279,3,6,566,79,536,41,998,9,726,64,516,8,1.55E-03,-3.46E+01,-1.00E+01,-1.00E+01,0.00E+00,3.55E+01
967,333,3,7,663,14,853,73,524,10,394,40,540,33,3.12E-05,1.38E+01,4.06E+04,1.53E+05,9.52E+01,3.76E+01
732,478,3,9,462,95,883,65,342,47,386,93,119,61,6.59E-04,1.72E+01,2.17E+06,1.49E+08,-1.15E+01,-6.68E+00
582,641,4,6,523,78,696,54,984,20,861,15,342,69,4.83E-04,1.90E+01,1.40E+06,1.49E+08,-2.20E+00,6.38E+02
494,836,8,5,116,10,159,2,707,4,986,52,659,51,4.48E-05,3.53E+01,1.68E+04,8.98E+05,1.01E+02,3.32E+01
864,944,9,6,869,53,662,94,151,70,208,54,820,82,1.50E-05,4.51E+01,1.08E+04,1.40E+06,8.69E+01,4.26E+01
450,839,4,9,275,62,356,94,727,43,181,65,890,69,1.90E-04,1.49E+01,1.40E+06,1.98E+07,1.05E+01,5.20E+00
846,228,5,7,962,42,501,40,119,83,523,36,488,60,5.07E-05,-1.16E+01,-1.00E+01,-1.00E+01,9.39E+01,1.13E+01
393,390,1,4,675,78,625,38,195,82,831,47,376,21,8.76E-04,1.57E+01,1.28E+07,1.81E+08,7.15E+00,3.31E+00
204,346,4,2,643,12,628,35,720,93,602,59,316,40,8.52E-04,1.30E+01,2.17E+06,1.05E+07,1.40E+02,2.39E+01
758,326,6,3,260,12,896,95,899,64,724,29,708,43,1.72E-04,1.41E+01,5.77E+05,2.78E+06,9.25E+01,7.67E+00
526,313,6,7,559,84,492,59,161,66,345,98,999,6,1.23E-03,1.00E+01,5.27E+06,1.81E+08,1.22E+01,8.30E+00
961,610,7,8,726,73,470,54,222,4,909,7,452,46,1.47E-05,-2.65E+00,-1.00E+01,-1.00E+01,1.14E+02,1.78E+01
917,432,2,5,566,68,475,94,603,53,359,89,113,31,9.95E-05,1.27E+01,5.77E+05,2.17E+06,1.26E+02,2.30E+01
932,604,7,6,773,91,845,25,313,39,446,27,897,62,2.50E-05,6.96E+00,1.53E+05,2.38E+05,1.45E+02,1.04E+01
946,447,6,3,918,31,261,65,967,8,544,29,430,76,3.33E-05,8.53E+00,4.06E+04,6.32E+04,9.50E+01,4.29E+01
811,855,8,5,257,15,775,77,112,44,513,15,399,1,3.44E-05,2.46E+01,1.53E+05,2.54E+07,-8.03E+01,-1.26E+01
406,374,4,1,507,87,158,24,928,13,325,49,142,3,1.94E-03,-2.40E+01,-1.00E+01,-1.00E+01,1.34E+02,0.00E+00
673,551,9,2,451,79,180,6,438,1,700,29,908,85,9.92E-04,2.35E+01,5.77E+05,6.73E+06,3.16E+01,1.28E+01
789,390,6,3,236,14,612,12,169,3,382,82,691,48,6.05E-04,3.46E+01,1.53E+05,1.28E+07,5.57E+01,1.55E+01
757,350,6,3,160,12,890,95,899,63,724,29,290,43,2.38E-04,7.32E+00,8.98E+05,1.79E+06,7.72E+01,9.66E+00
574,394,4,6,523,78,625,54,970,81,861,15,341,22,7.74E-04,1.73E+01,2.17E+06,2.31E+08,-6.01E+00,-1.96E+00
386,611,1,3,652,78,695,33,201,20,830,44,376,66,3.96E-04,1.55E+01,8.19E+06,3.95E+07,1.44E+01,7.13E+00
732,483,2,5,465,94,482,62,349,46,385,88,119,35,8.62E-04,2.38E+01,3.38E+06,4.38E+08,-1.09E+01,-1.23E+01
917,426,2,8,566,68,875,94,595,53,385,93,113,56,9.50E-05,7.00E+00,5.77E+05,8.98E+05,1.02E+02,0.00E+00
788,597,7,6,776,15,848,25,157,1,456,86,897,62,5.06E-04,3.67E+01,6.32E+04,5.27E+06,1.80E+01,1.63E+01
919,405,5,4,158,89,603,11,311,40,373,26,274,48,6.58E-05,1.69E-01,5.77E+05,9.84E+04,1.38E+02,1.77E+01
422,839,3,9,275,62,347,94,727,43,181,65,890,69,1.94E-04,1.43E+01,1.40E+06,1.98E+07,1.03E+01,5.13E+00
946,453,6,3,918,31,261,65,967,8,544,29,430,76,3.33E-05,8.63E+00,4.06E+04,8.08E+04,9.50E+01,4.28E+01
742,954,9,6,246,51,933,95,151,69,732,27,823,82,6.56E-06,9.73E+00,6.32E+04,1.53E+05,8.00E+01,1.90E+01
861,326,6,3,882,13,623,94,899,64,199,54,704,39,4.93E-05,1.86E+01,6.32E+04,4.74E+05,9.96E+01,0.00E+00
526,309,6,6,558,84,492,59,147,66,343,97,999,7,1.26E-03,1.20E+01,5.27E+06,2.31E+08,1.29E+01,8.74E+00
671,551,9,1,474,79,241,6,451,1,701,28,908,84,9.50E-04,2.86E+01,3.71E+05,8.19E+06,1.31E+02,2.57E+01
531,313,6,7,559,84,495,59,416,66,375,98,998,3,1.14E-03,7.36E-01,3.38E+06,8.98E+05,7.50E+00,3.99E+00
