VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
949,392,4,9,701,53,247,91,156,23,742,86,814,28,2.78E-05,1.32E+01,1.53E+05,5.77E+05,1.31E+02,1.40E+01
330,279,3,6,386,79,536,61,458,9,366,5,516,87,2.45E-03,-9.17E+00,-1.00E+01,-1.00E+01,0.00E+00,0.00E+00
487,333,7,9,483,93,493,73,884,69,394,60,360,33,2.97E-03,4.08E+01,8.98E+05,1.36E+09,-2.08E+01,-1.54E+01
732,798,2,1,822,16,523,65,882,27,386,93,119,81,3.18E-04,3.45E+01,3.71E+05,1.28E+07,9.48E+01,3.91E+01
582,641,9,6,523,58,516,93,444,20,141,15,162,30,1.22E-03,4.02E+01,3.71E+05,2.11E+09,-6.34E+00,-8.70E+00
334,356,6,9,296,30,519,81,347,23,986,32,479,51,2.16E-03,1.55E+01,5.27E+06,5.60E+08,5.75E+01,1.55E+01
384,464,9,9,149,53,842,55,331,31,208,14,100,82,1.08E-03,2.84E+00,5.27E+06,3.38E+06,0.00E+00,0.00E+00
930,839,4,4,275,42,896,94,907,43,721,85,530,50,5.42E-05,3.81E+01,6.32E+04,5.27E+06,1.08E+02,1.90E+01
526,868,9,3,242,81,321,20,299,24,343,96,848,1,2.00E-05,-9.09E+00,-1.00E+01,-1.00E+01,-8.70E+01,-1.69E+01
393,230,3,4,135,78,625,38,555,82,111,67,376,1,1.36E-03,-4.81E+00,-1.00E+01,-1.00E+01,1.55E+01,6.64E+00
844,346,8,3,643,32,988,35,360,14,782,78,676,40,1.27E-04,2.22E+01,1.53E+05,1.79E+06,1.35E+02,1.24E+01
438,646,6,1,440,12,896,75,719,5,364,69,168,24,1.04E-03,5.12E+00,1.40E+06,1.79E+06,1.28E+02,1.62E+01
686,473,8,5,199,44,492,59,881,66,345,39,279,66,9.39E-04,2.15E+01,1.40E+06,5.60E+08,-1.58E+01,-9.95E+00
321,610,3,1,906,34,290,14,942,44,729,66,992,66,5.47E-04,3.68E+01,5.77E+05,3.95E+07,1.12E+02,3.40E+01
757,913,2,7,206,68,115,74,603,13,539,89,113,51,1.21E-04,2.54E+01,5.77E+05,1.28E+07,4.40E+01,1.07E+01
772,764,2,9,953,32,125,6,673,99,266,7,897,23,3.69E-05,1.65E+01,5.77E+05,2.78E+06,8.81E+01,5.75E+01
306,607,4,8,378,11,981,65,787,67,544,49,250,56,6.03E-04,1.61E+01,1.40E+06,1.16E+08,-2.95E+00,-2.31E+02
971,215,8,3,617,15,776,37,832,44,873,15,399,1,3.15E-06,1.41E+01,1.08E+04,5.19E+04,8.97E+01,5.89E+01
886,694,2,1,327,8,159,63,388,33,145,49,862,42,4.58E-05,2.52E+01,2.38E+05,3.38E+06,8.93E+01,4.40E+01
672,871,2,9,631,20,540,66,257,21,340,9,188,26,4.56E-05,2.02E+01,5.77E+05,5.27E+06,9.45E+01,2.77E+01
929,610,2,1,906,34,304,14,909,44,729,66,992,66,2.86E-05,1.77E+01,1.53E+05,8.98E+05,8.17E+01,8.15E+01
320,839,4,3,275,33,893,94,939,43,710,85,525,50,1.25E-04,3.71E+01,2.38E+05,1.98E+07,1.10E+02,2.21E+01
772,201,7,9,613,15,124,36,673,99,960,14,897,23,7.99E-05,3.73E+00,3.71E+05,3.05E+05,3.40E+01,6.97E+00
971,821,2,2,966,31,781,6,827,44,185,7,399,8,2.65E-06,1.35E+01,4.06E+04,1.53E+05,8.01E+01,2.94E+01
949,391,4,3,701,53,246,35,127,13,742,86,814,39,3.50E-05,1.25E+01,1.53E+05,5.77E+05,1.01E+02,2.17E+01
844,336,7,8,643,32,988,98,347,23,782,77,676,28,1.14E-04,2.24E+01,2.38E+05,3.38E+06,2.71E+01,7.16E+00
886,694,2,1,327,17,159,63,378,33,145,92,847,42,1.30E-04,3.86E+01,1.53E+05,1.28E+07,9.15E+01,3.48E+01
732,798,2,1,822,6,523,65,891,27,386,49,130,81,1.04E-04,1.88E+01,3.71E+05,2.17E+06,8.99E+01,4.82E+01
777,764,8,3,623,31,154,6,673,99,879,9,897,1,3.50E-05,4.63E+01,2.61E+04,3.09E+07,-8.77E+01,-1.22E+01
965,215,1,8,945,15,749,37,832,47,258,15,399,23,4.41E-06,-4.33E+00,-1.00E+01,-1.00E+01,8.47E+01,5.19E+01
375,873,2,1,908,20,293,66,269,44,776,8,933,66,6.48E-05,1.08E+01,1.40E+06,4.32E+06,2.56E+01,3.63E+00
661,604,2,8,628,33,536,13,928,16,306,66,223,25,7.01E-04,5.55E+01,9.84E+04,5.60E+08,-6.22E+02,-2.58E+00
754,871,2,6,198,68,115,74,603,13,340,89,143,50,2.19E-04,1.56E+01,1.40E+06,1.05E+07,1.42E+01,6.61E+00
674,912,2,9,638,21,540,69,257,21,538,9,203,26,2.01E-05,1.84E+01,3.71E+05,2.78E+06,1.08E+02,3.42E+01
582,641,8,7,521,59,112,93,444,19,141,19,162,29,2.04E-03,2.79E+01,1.40E+06,2.11E+09,-9.08E+00,-4.53E+00
757,913,1,5,206,68,522,74,603,14,537,84,109,51,7.90E-05,5.62E+01,6.32E+04,3.95E+07,9.73E+01,1.65E+01
877,798,2,1,812,6,523,65,882,27,390,89,119,80,9.86E-05,2.16E+01,9.84E+04,8.98E+05,8.65E+01,0.00E+00
740,694,2,1,336,15,159,63,388,33,140,50,862,42,3.27E-04,4.83E+01,2.38E+05,6.14E+07,1.04E+02,2.70E+01
437,459,6,9,440,12,895,58,346,5,364,63,168,26,2.46E-03,3.52E+01,3.71E+05,8.72E+08,6.07E+00,3.10E+00
384,650,9,1,149,53,842,74,703,31,208,14,101,79,7.08E-04,1.08E+01,2.17E+06,6.73E+06,1.35E+02,0.00E+00
320,839,4,2,282,17,893,94,383,32,228,88,843,50,1.03E-04,1.86E+01,5.77E+05,4.32E+06,9.95E+01,2.97E+01
876,694,2,1,319,35,147,65,933,43,626,91,528,42,1.70E-04,3.47E+01,3.71E+05,1.98E+07,8.31E+01,2.47E+01
422,696,6,1,440,12,879,75,719,5,370,74,168,24,7.42E-04,3.88E+00,8.98E+05,1.15E+06,1.24E+02,1.68E+01
901,643,2,1,327,8,176,63,387,33,153,48,856,44,3.62E-05,2.07E+01,2.38E+05,1.79E+06,8.95E+01,4.52E+01
438,700,5,1,436,12,910,63,719,32,364,68,159,24,6.15E-04,5.38E+01,6.32E+04,2.54E+07,1.18E+02,2.44E+01
886,646,2,1,330,8,159,74,388,5,201,43,883,42,1.35E-04,3.70E+01,9.84E+04,5.27E+06,9.21E+01,3.92E+01
672,878,2,8,675,20,882,59,238,43,340,9,188,51,2.16E-05,2.90E+00,5.77E+05,4.74E+05,1.37E+02,2.70E+01
320,839,4,3,230,32,545,99,954,20,710,85,525,24,1.35E-04,4.05E+00,1.40E+06,1.15E+06,9.65E+01,2.18E+01
757,913,2,5,206,68,169,74,388,14,123,84,150,41,7.84E-05,1.69E+01,8.98E+05,5.27E+06,1.11E+02,2.27E+01
739,694,1,1,336,16,511,63,574,33,556,50,829,51,2.41E-04,3.45E+01,1.40E+06,6.14E+07,7.62E+01,2.03E+01
740,694,2,1,829,14,523,65,882,26,147,93,119,81,6.15E-04,2.97E+01,3.71E+05,1.05E+07,9.71E+01,5.89E+01
731,797,2,1,384,14,159,63,388,33,378,49,862,37,1.69E-04,2.68E+01,1.40E+06,1.98E+07,6.67E+01,1.95E+01
672,871,2,3,261,9,518,66,262,20,340,9,188,26,4.75E-05,2.02E+01,8.98E+05,6.73E+06,9.28E+01,4.16E+01
930,822,4,9,644,42,830,94,907,43,714,86,530,49,4.41E-05,3.28E+01,6.32E+04,2.78E+06,1.32E+02,1.15E+01
790,308,1,5,206,30,989,35,583,14,580,78,100,38,5.51E-04,1.70E+01,3.38E+06,2.54E+07,4.90E+01,1.03E+01
846,960,8,3,643,68,514,73,379,21,782,83,676,48,1.00E-05,3.00E+01,2.61E+04,5.77E+05,5.07E+01,5.65E+00
324,605,5,8,302,30,294,9,917,18,988,32,996,62,3.45E-04,2.79E+01,5.77E+05,2.31E+08,-1.03E+00,4.55E+02
871,360,2,1,850,38,528,85,337,44,729,69,462,54,5.44E-05,5.97E+00,5.77E+05,8.98E+05,9.40E+01,3.16E+01
291,747,2,1,327,17,289,64,417,33,716,92,847,42,4.96E-04,1.13E+01,5.27E+06,1.28E+07,7.70E+01,2.51E+01
915,607,2,1,906,35,164,12,942,44,158,65,992,66,7.77E-05,2.87E+01,1.53E+05,3.38E+06,8.24E+01,0.00E+00
876,694,2,1,319,35,251,65,933,44,626,91,528,42,1.59E-04,3.40E+01,3.71E+05,1.98E+07,8.31E+01,2.71E+01
321,610,3,1,906,35,290,16,939,44,730,66,992,66,6.18E-04,3.92E+01,5.77E+05,4.80E+07,1.13E+02,3.22E+01
334,356,6,9,296,30,519,81,347,21,986,32,509,51,2.20E-03,1.65E+01,5.27E+06,5.60E+08,5.31E+01,1.50E+01
740,694,2,1,829,14,518,65,882,26,147,93,119,81,6.16E-04,2.97E+01,3.71E+05,1.05E+07,9.71E+01,5.90E+01
740,694,2,1,358,15,159,63,443,33,140,55,862,42,3.20E-04,3.76E+01,5.77E+05,4.80E+07,1.03E+02,2.78E+01
