VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
541,472,1,2,584,22,175,82,786,7,634,61,157,78,3.70E-03,2.53E+01,5.27E+06,1.49E+08,5.77E+01,9.41E+00
570,319,4,7,800,10,401,1,485,53,969,82,381,63,5.70E-05,1.15E+00,2.38E+05,1.26E+05,1.33E+02,5.09E+01
631,973,5,4,132,40,511,23,686,51,934,84,189,43,6.73E-06,3.93E+01,6.93E+03,5.77E+05,8.46E+01,2.68E+01
932,302,2,5,489,10,676,70,180,58,926,73,164,31,8.50E-06,-1.49E+01,-1.00E+01,-1.00E+01,9.98E+01,4.55E+01
742,761,3,6,613,89,930,96,246,70,942,59,936,71,1.68E-04,2.15E+01,1.40E+06,3.95E+07,1.07E+01,6.70E+00
422,260,1,1,782,9,726,67,905,52,671,93,308,41,6.86E-04,1.79E+01,3.38E+06,1.98E+07,9.35E+01,1.98E+01
968,568,2,4,365,53,743,91,997,13,838,36,856,13,3.73E-05,3.18E+01,1.53E+05,4.32E+06,9.78E+01,2.10E+01
546,559,7,4,770,19,509,64,718,33,649,19,323,41,4.14E-04,1.46E+01,8.98E+05,3.38E+06,6.90E+00,3.49E+00
822,876,6,9,818,15,825,86,830,17,532,98,875,33,3.04E-05,1.75E+01,9.84E+04,4.74E+05,1.20E+02,2.21E+01
913,638,2,4,432,78,355,33,447,52,507,56,376,56,6.96E-05,1.39E+01,8.98E+05,3.38E+06,6.79E+01,4.64E+00
452,427,5,7,913,75,565,15,963,3,953,58,388,6,5.54E-04,-9.27E+00,-1.00E+01,-1.00E+01,1.38E+01,9.62E+00
494,710,5,8,161,12,311,76,143,87,967,91,195,94,6.55E-04,4.16E+00,3.38E+06,5.27E+06,8.87E+00,6.81E+00
918,505,6,2,802,91,312,84,485,61,300,87,135,48,8.82E-05,1.00E+01,2.38E+05,5.77E+05,1.12E+02,0.00E+00
993,330,6,2,312,46,480,61,411,62,468,18,695,10,8.06E-06,2.82E+00,6.32E+04,5.19E+04,9.24E+01,4.20E+01
765,809,7,9,179,53,763,16,918,10,395,89,788,45,7.70E-05,2.34E+01,9.84E+04,1.40E+06,3.01E+01,1.01E+01
380,516,6,5,899,15,881,22,880,21,410,28,987,30,4.79E-04,4.74E+01,6.32E+04,4.38E+08,2.47E+01,9.21E+00
298,559,6,1,225,51,585,84,796,64,678,83,529,28,1.58E-03,1.93E+01,5.27E+06,6.14E+07,2.30E+01,1.05E+01
563,207,4,3,599,40,101,34,481,88,585,65,174,76,1.19E-03,6.59E+00,5.27E+06,6.73E+06,6.07E+01,1.46E+01
622,518,5,7,967,51,339,27,865,61,379,44,871,16,4.87E-04,5.11E+01,9.84E+04,4.38E+08,-1.53E+00,7.15E+02
272,295,8,8,982,67,296,13,626,74,628,74,494,49,1.18E-03,2.36E+01,8.98E+05,3.60E+08,2.93E+00,3.06E+00
483,207,4,3,599,15,853,88,481,19,585,66,174,76,1.17E-03,1.07E+01,2.17E+06,6.73E+06,1.42E+02,1.88E+01
822,876,6,8,818,39,103,31,830,85,532,98,904,33,4.16E-05,3.19E+01,9.84E+04,3.38E+06,1.18E+02,2.86E+01
996,330,6,2,312,46,480,61,411,62,427,21,695,10,7.97E-06,4.58E+00,6.32E+04,6.32E+04,9.23E+01,4.21E+01
298,559,6,1,218,51,585,85,796,64,678,83,529,28,1.59E-03,1.90E+01,5.27E+06,4.80E+07,2.22E+01,1.04E+01
377,524,5,8,921,11,320,76,879,87,967,83,214,94,5.66E-04,4.78E+00,1.40E+06,1.40E+06,3.92E+01,9.25E+00
494,701,6,4,142,15,871,22,145,15,410,28,958,30,1.29E-04,2.84E+01,3.71E+05,3.09E+07,7.31E+01,2.23E+01
376,516,6,5,899,15,901,76,880,21,636,28,987,78,7.58E-04,2.59E+01,5.77E+05,2.31E+08,-4.02E+00,-3.45E+00
544,472,1,2,593,21,156,27,746,6,492,60,157,28,2.71E-03,2.63E+01,3.38E+06,1.16E+08,8.67E+00,6.42E+00
540,316,5,2,312,48,546,61,411,12,629,60,733,18,1.54E-03,1.34E+01,3.38E+06,1.98E+07,1.22E+01,5.95E+00
991,474,1,2,584,22,175,81,779,56,472,18,124,69,3.73E-06,-2.36E+01,-1.00E+01,-1.00E+01,1.35E+02,5.90E+01
584,989,5,4,132,40,482,23,686,51,934,84,189,43,4.84E-06,3.86E+01,4.45E+03,3.71E+05,8.36E+01,2.36E+01
822,876,5,9,818,15,825,86,830,17,545,98,875,28,2.84E-05,1.59E+01,9.84E+04,4.74E+05,1.13E+02,2.23E+01
570,319,4,7,800,10,401,1,505,53,994,82,381,63,5.71E-05,1.30E+00,2.38E+05,1.26E+05,1.36E+02,5.15E+01
